,七又　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4D,3,5,3N,4,4,5,4,36
1,バック,321,402,188,561,173,386,365,520,358,3274
2,レギュラー,300,382,170,535,153,362,354,493,339,3088
3,レディス,285,365,108,486,153,332,260,453,317,2759
4,Hdcp,16,12,6,14,10,2,4,8,18,­
