,ホワイト,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4D,4,4,3,5,4,36
1,バック,522,175,410,438,385,408,208,556,425,3527
2,レギュラー,478,153,375,403,346,377,183,499,372,3186
3,フロント,428,131,328,354,302,338,157,448,332,2818
4,Hdcp,8,9,1,6,7,3,5,2,4,­
