,IN,10,11,12,13,14,15,16,17,18,計
0,Par,3,5D,4,4,3,4,4,4,4,35
1,Back,163,492,365,342,163,400,435,421,375,3156
2,REGULAR,135,470,353,320,140,377,421,401,365,2982
3,GOLD,120,338,340,291,132,282,394,250,345,2492
4,LADIES,115,333,330,286,128,210,331,210,335,2278
5,Hdcp,16,2,12,14,18,6,8,4,10,­
