,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4,4,4,5D,4,3,4,36
1,Back,511,212,477,402,342,496,389,206,460,3495
2,Reg.,465,179,443,373,342,496,354,171,434,3257
3,Front,451,168,367,347,327,478,339,143,366,2986
4,Gold,425,130,336,329,314,465,324,143,349,2815
5,Ladies,368,130,336,291,314,465,324,143,349,2720
6,Hdcp,6,14,2,8,18,16,12,10,4,­
