,竹,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,4,5,3N,4,5D,36
1,Back T.,370,449,426,194,378,497,184,386,575,3459
2,Reg.,356,424,405,186,361,479,165,367,561,3304
3,Front.,338,405,384,176,346,460,143,366,544,3162
4,Hdcp,2,1,4,8,7,6,9,5,3,­
