,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,4,5,3,5,4D,36
1,バック,396,421,189,410,353,574,201,532,426,3502
2,レギュラー,369,391,171,384,333,530,175,510,403,3266
3,フロント,344,365,149,359,313,510,157,478,383,3058
4,レディース,324,325,118,313,313,470,122,445,348,2778
5,Hdcp,5,2,9,1,7,4,8,3,6,­
