,加治川　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,3N,5,4,5,3N,4D,4,36
1,Back1,392,359,156,544,357,491,157,407,360,3223
2,Back2,392,359,156,544,357,491,157,407,360,3223
3,Regular,365,343,142,500,336,470,145,387,343,3031
4,Ｆront,335,327,130,484,314,455,133,369,326,2873
5,Ladies,318,285,94,443,263,401,121,300,309,2534
6,Hdcp,9,3,15,1,13,7,17,5,11,­
