,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,4,3,5D,4,36
1,バック,403,405,185,537,366,426,202,580,400,3504
2,レギュラー,379,390,166,516,341,405,185,542,381,3305
3,フロント,361,370,147,492,332,385,165,527,360,3139
4,レディース,343,333,100,459,256,335,113,446,347,2732
5,Hdcp,6,2,9,4,8,1,7,3,5,­
