,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,4,3N,4,5D,3N,4,36
1,C．T,407,540,371,363,173,394,539,165,395,3347
2,B．T,407,540,371,363,173,394,539,165,395,3347
3,R．T,374,513,354,341,141,372,512,138,371,3116
4,L．T,308,427,300,275,119,328,435,110,332,2634
5,Hdcp,5,2,8,4,7,1,3,9,6,­
