,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5D,4,3N,4,4,5D,4,36
1,C．T,426,192,516,425,231,447,370,546,408,3561
2,B．T,393,166,516,425,186,387,370,546,408,3397
3,R．T,365,145,483,393,159,365,337,506,384,3137
4,L．T,334,113,419,310,121,286,282,425,326,2616
5,Hdcp,2,8,5,4,7,1,9,3,6,­
