,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3N,4,4,4,3,5D,36
1,Back,489,444,459,198,413,423,435,213,543,3617
2,Regular,471,378,412,176,334,338,390,158,504,3161
3,Ladies,405,327,347,176,300,284,275,104,412,2630
4,Hdcp,12,5,4,7,8,14,1,9,2,­
