,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4D,4,3N,5,4,3N,4D,36
1,C．T,569,446,428,406,189,570,346,218,457,3629
2,B．T,527,365,428,406,189,570,346,175,419,3425
3,R．T,483,344,405,367,161,515,318,142,396,3131
4,L．T,428,323,303,297,135,445,292,120,337,2680
5,Hdcp,5,2,8,4,7,1,9,6,3,­
