,加治川　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5D,3N,4,4,4,5D,36
1,Back1,385,382,167,555,185,388,405,388,519,3374
2,Back2,385,382,167,535,185,388,405,388,519,3354
3,Regular,356,364,150,505,157,361,388,353,495,3129
4,Ｆront,315,354,133,475,140,346,319,333,468,2883
5,Ladies,276,331,108,456,124,308,284,270,428,2585
6,Hdcp,10,4,16,2,14,8,12,18,6,­
