,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,5D,3,4,4,4,36
1,Back,492,133,346,339,546,155,314,388,379,3092
2,Reg.,455,122,327,319,509,144,297,364,330,2867
3,Hdcp,7,17,3,13,1,11,15,9,5,­
