,けやき,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,5D,4,4,4,3N,4,36
1,Back T.,347,551,178,535,400,445,337,172,419,3384
2,Regular.T,314,531,164,517,373,428,318,159,351,3155
3,Ladies.T,289,484,126,461,306,284,284,102,265,2601
4,Hdcp,5,2,8,1,7,4,6,9,3,­
