,かえで,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,4D,4,5,4,3N,4,36
1,Back T.,385,194,558,410,380,532,393,178,391,3421
2,Regular.T,354,174,541,387,350,507,366,155,350,3184
3,Ladies.T,306,139,434,334,301,428,315,114,332,2703
4,Hdcp,8,2,5,4,7,1,3,9,6,­
