,飯豊　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,5D,4,4,4,3N,4D,36
1,Back1,559,431,143,606,422,347,361,172,434,3475
2,Back2,559,431,143,594,422,347,361,159,423,3439
3,Regular,540,409,125,575,403,329,343,154,406,3284
4,Ｆront,517,381,112,549,376,305,321,129,388,3078
5,Ladies,462,317,94,436,323,256,268,108,332,2596
6,Hdcp,10,4,16,2,8,14,12,18,6,­
