,ぶな,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,5,4,3,5D,4,36
1,Back T.,368,365,166,397,524,439,200,567,417,3443
2,Regular.T,341,346,141,379,497,412,180,553,348,3197
3,Ladies.T,313,300,119,348,422,341,147,495,303,2788
4,Hdcp,8,2,5,4,7,1,6,9,3,­
