,飯豊　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,3N,5D,4,4,4,5D,36
1,Back1,412,176,411,218,517,340,454,357,487,3372
2,Back2,412,176,411,218,493,340,437,339,487,3313
3,Regular,381,154,389,199,454,312,391,321,464,3065
4,Ｆront,353,133,370,181,427,284,368,302,432,2850
5,Ladies,309,97,315,138,383,284,325,214,361,2426
6,Hdcp,9,15,3,13,1,7,5,17,11,­
