,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,4,5,3,4D,4,36
1,バック,392,523,360,175,420,540,190,400,389,3389
2,レギュラー,376,504,337,160,393,518,174,385,378,3225
3,フロント,359,480,324,148,373,497,158,365,360,3064
4,レディース,336,460,270,127,324,467,114,345,348,2791
5,Hdcp,7,5,2,9,1,4,8,3,6,­
