,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4,3,4,4,3N,4,5,36
1,Blue,373,518,422,172,371,322,136,384,495,3193
2,White,360,501,401,144,350,306,124,359,495,3040
3,Red,349,390,295,144,268,198,124,339,472,2579
4,Hdcp,16,10,4,14,2,8,18,6,12,­
