,柳生,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4D,4,4,3,4,5,4,36
1,Back T.,520,186,400,388,447,151,436,541,403,3472
2,Reg.,495,171,390,370,430,130,422,520,373,3301
3,Front,481,153,364,354,405,130,397,510,353,3147
4,Ladies,481,153,364,240,254,121,325,490,344,2772
5,Hdcp,5,8,2,4,1,7,3,9,6,­
