,ナパラ,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,4,4,3N,5,4D,3N,36
1,Back,322,503,310,441,375,163,560,370,209,3253
2,Reg.,302,492,293,427,334,138,547,344,188,3065
3,Front,284,466,273,404,344,114,518,311,171,2885
4,Ldy.Gold,262,409,257,354,295,85,467,286,133,2548
5,Hdcp,8,2,6,1,3,9,4,7,5,­
