,さつき,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,4,5D,3N,4,5,36
1,BACK TEE,359,209,386,397,375,512,174,382,520,3314
2,REG TEE,351,196,377,386,347,499,162,346,501,3165
3,FRONT TEE,340,179,360,364,335,488,148,325,484,3023
4,LADIES TEE,290,179,250,314,286,408,140,305,407,2579
5,Hdcp,7,4,1,3,5,2,9,8,6,­
