,宝池　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,5,4,4,4,3,4,36
1,Back,417,369,383,521,322,381,454,176,422,3445
2,Regular,386,343,366,489,304,346,430,175,401,3240
3,Front,344,284,346,459,259,329,386,147,272,2826
4,Ladies,294,222,304,417,213,267,274,132,213,2336
5,Hdcp,16,6,10,2,18,8,4,14,12,­
