,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5D,4,3,4,5,4,36
1,Back T.,370,385,166,539,397,190,356,537,376,3316
2,RegularT.,359,376,150,484,363,170,343,519,363,3127
3,Front　T.,335,361,145,469,328,151,321,511,358,2979
4,CHAMPION,388,417,190,558,417,203,370,552,389,3484
5,GOLD,321,346,131,458,302,440,305,439,278,3020
6,LADIES,301,346,131,408,302,116,290,439,278,2611
7,Hdcp,9,2,7,3,1,4,5,6,8,­
