,室生　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,4,4,5,5,3,4,36
1,Champion,407,383,149,357,360,592,563,210,383,3404
2,Back,407,383,149,357,360,545,534,188,383,3306
3,Regular,387,362,132,340,332,528,516,172,352,3121
4,Front,369,362,117,323,306,505,495,153,332,2962
5,Ladies,369,285,117,306,283,464,450,147,302,2723
6,Pink,321,285,78,306,202,435,436,125,274,2462
7,Hdcp,8,4,18,16,14,2,6,10,12,­
