,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,3,4,4,5,4D,36
1,Back T.,370,167,604,403,178,337,447,510,415,3431
2,RegularT.,365,160,567,385,152,334,419,506,388,3276
3,Front　T.,351,145,527,370,147,324,393,494,357,3108
4,CHAMPION,391,206,636,407,191,349,463,516,437,3596
5,GOLD,340,131,467,310,129,319,365,467,323,2851
6,LADIES,301,131,427,265,129,319,365,417,302,2656
7,Hdcp,7,6,4,1,5,9,2,8,3,­
