,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,4D,5,3N,4,5,36
1,FULL BACK,378,185,368,433,393,518,175,372,511,3333
2,BACK,373,161,361,426,385,511,149,361,496,3223
3,REGULAR,358,136,352,399,377,488,130,336,480,3056
4,Hdcp,7,8,6,1,2,5,9,3,4,­
