,あしび,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4D,3,4,4,4,5,36
1,BACK TEE,502,390,192,465,146,382,323,387,520,3307
2,REG TEE,490,345,146,416,136,360,301,366,507,3067
3,FRONT TEE,478,321,120,391,124,346,267,356,490,2893
4,LADIES TEE,460,320,120,336,112,346,248,284,400,2626
5,Hdcp,4,2,6,1,9,3,8,5,7,­
