,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,5,4D,4,4,3N,5,36
1,Back,343,148,427,586,472,369,360,195,516,3416
2,Regular,333,121,381,538,411,341,319,171,467,3082
3,Front,310,121,368,513,399,330,298,155,448,2942
4,Ladies,292,102,324,455,306,315,273,113,421,2601
5,Hdcp,16,18,4,6,2,10,14,12,8,­
