,室生　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,4,4,3,4,5,4,36
1,Champion,464,153,618,395,353,178,334,582,420,3497
2,Back,446,153,582,371,353,178,311,582,392,3368
3,Regular,432,140,550,357,334,151,294,557,372,3187
4,Front,366,140,535,315,328,151,282,538,326,2981
5,Ladies,319,110,504,292,328,130,252,450,295,2680
6,Pink,284,97,450,267,210,130,232,450,241,2361
7,Hdcp,3,17,1,5,15,13,11,9,7,­
