,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5,4D,4,4,3,5,36
1,Back T.,422,162,440,500,401,381,324,169,509,3308
2,RegularT.,407,152,411,482,369,369,319,144,487,3140
3,Front　T.,397,137,382,472,338,353,309,125,465,2978
4,CHAMPION,441,184,461,518,423,401,335,188,526,3477
5,GOLD,369,127,359,380,321,319,262,105,441,2683
6,LADIES,315,127,359,380,311,310,262,105,441,2610
7,Hdcp,3,9,1,6,2,4,8,7,5,­
