,West,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,5,4,3,5D,4,36
1,Black,416,357,208,425,527,362,190,528,400,3413
2,Blue,395,341,185,405,499,337,175,515,369,3221
3,Green,376,324,172,385,474,311,160,460,350,3012
4,Gold,322,282,102,334,436,264,115,407,290,2552
5,Red,322,282,102,334,436,264,115,407,290,2552
6,White,355,302,149,360,462,290,143,438,328,2827
7,Hdcp,3,6,9,4,1,7,8,2,5,­
