,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5,4,4,4,3,5D,36
1,FULL BACK,431,198,395,510,354,376,328,189,497,3278
2,BACK,426,170,379,497,349,351,323,164,487,3146
3,REGULAR,402,142,368,467,328,319,304,155,471,2956
4,Hdcp,2,8,3,1,6,7,5,9,4,­
