,宝池　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,3,5,4,4,5,3,36
1,Back,388,147,500,161,530,320,410,513,191,3160
2,Regular,361,129,460,143,470,240,369,492,151,2815
3,Front,315,119,438,133,434,208,338,454,122,2561
4,Ladies,271,100,375,90,363,176,253,358,93,2079
5,Hdcp,9,17,3,13,1,7,5,11,15,­
