,生駒,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,4,4D,3,5,36
1,Back T.,578,434,150,373,413,314,406,219,490,3377
2,Reg.,551,419,142,351,393,295,383,191,474,3199
3,Ladies,472,372,116,320,317,264,337,129,448,2775
4,Hdcp,4,1,5,6,2,9,8,3,7,­
