,さざんか,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3N,4,4,3,5,4,4,36
1,BACK TEE.,357,619,196,435,310,192,560,390,393,3452
2,REG TEE,345,596,177,360,279,186,524,372,375,3214
3,FRONT TEE,328,585,163,349,273,173,507,354,357,3089
4,LADIES TEE,289,432,163,303,245,139,430,302,302,2605
5,Hdcp,7,2,9,1,4,5,3,8,6,­
