,North,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,4,4,3N,5D,36
1,Black,570,385,209,405,413,430,500,162,594,3668
2,Blue,514,357,178,377,381,380,439,131,507,3264
3,Green,482,333,165,360,355,357,417,117,483,3069
4,Gold,420,290,135,305,308,336,361,101,445,2701
5,Red,401,290,135,305,308,284,331,89,445,2588
6,White,449,312,155,339,334,336,389,101,465,2880
7,Hdcp,3,7,8,6,2,5,1,9,4,­
