,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4,5,4D,4,4,3,4,36
1,BT,520,177,410,546,408,288,380,125,410,3264
2,RT,506,163,381,535,392,275,368,113,389,3122
3,FT,459,145,316,442,294,275,348,103,309,2691
4,LT,434,145,316,442,294,259,294,103,309,2596
5,Hdcp,10,16,4,2,6,8,14,18,12,­
