,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,4,5D,4,3,5,36
1,BLACK,400,178,421,378,385,565,419,205,571,3522
2,BLUE,384,162,398,366,361,542,393,178,537,3321
3,WHITE,370,147,383,358,351,527,374,173,526,3209
4,Hdcp,9,17,1,11,13,3,5,15,7,­
