,East,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5,4,3N,4,5,4D,36
1,Black,405,389,218,583,406,202,435,554,462,3654
2,Blue,360,361,200,515,380,178,405,516,421,3336
3,Green,336,358,183,490,356,140,385,463,384,3095
4,Gold,304,307,135,420,332,117,302,454,330,2701
5,Red,271,307,135,420,309,98,302,397,330,2569
6,White,304,336,163,467,332,117,367,454,364,2904
7,Hdcp,7,3,9,1,5,8,2,6,4,­
