,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,3,4,3N,4,4,5,36
1,Back T.,394,378,553,213,404,176,434,381,518,3451
2,Reg T.,365,354,537,189,378,156,411,338,499,3227
3,Hdcp,8,3,1,6,5,9,2,7,4,­
