,八乙女,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,3,4,5,3,5,36
1,Back,412,394,465,357,170,438,495,175,504,3410
2,Regular,393,367,432,333,147,415,458,150,482,3177
3,Front,366,312,375,310,127,336,414,128,456,2824
4,Ladies,305,312,312,310,127,336,414,128,456,2700
5,Hdcp,3,5,1,9,6,2,8,7,4,­
