,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4D,4,3N,4,5,36
1,Back T.,528,439,357,149,381,353,179,433,493,3312
2,Reg T.,513,419,323,135,361,329,146,410,474,3110
3,Hdcp,2,3,7,9,5,6,8,4,1,­
