,IN,1,2,3,4,5,6,7,8,9,計
0,Par,3N,4,5,4D,4,3,4,5,4,36
1,Blue,213,369,506,419,309,187,345,472,349,3169
2,White,191,339,477,399,279,171,317,449,321,2943
3,Green,156,339,477,337,279,160,317,449,286,2800
4,Red,138,213,355,303,279,133,257,365,286,2329
5,Hdcp,3,6,9,4,1,7,8,5,2,­
