,泉,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,3,3,5,3,5,35
1,Back,312,329,416,321,205,128,498,162,472,2843
2,Regular,285,289,402,299,173,118,465,145,447,2623
3,Front,256,289,385,284,142,118,436,133,318,2361
4,Ladies,256,289,385,284,142,118,436,133,318,2361
5,Hdcp,8,5,1,4,3,9,6,7,2,­
