,松島,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,4.0,3.0,4.0,5.0,4D,3N,4.0,36
1,Back T.,400.0,523.0,387.0,197.0,346.0,500.0,408,175,416.0,3352
2,Reg.T.,385.0,505.0,353.0,151.0,325.0,472.0,383,142,372.0,3088
3,Ladies.T.,363.0,403.0,302.0,130.0,283.0,352.0,342,125,323.0,2623
4,Hdcp,,,,,,,,,,­
