,松島コース　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,5D,3,4,3N,4,4,36
1,BACK,588,410,406,479,166,374,118,341,449,3331
2,REG,569,397,387,457,151,347,113,307,410,3138
3,Front,547,382,360,438,133,347,113,287,391,2998
4,Hdcp,4,10,16,2,14,8,18,12,6,­
