,仙台コース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,4,4,4,3N,5D,4,36
1,Back,508,182,356,457,411,343,183,533,333,3306
2,Reg,493,163,340,442,396,324,171,513,323,3165
3,Front,476,163,328,431,377,313,158,497,310,3053
4,Hdcp,3,15,9,1,7,13,17,5,11,­
