,ロイヤルコース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,4,5,3N,4,4,36
1,Back,468,366,213,528,363,501,206,410,395,3450
2,Regular,396,334,175,490,350,486,181,366,354,3132
3,Front,334,308,134,479,275,463,153,322,332,2800
4,Ladies,305,245,134,360,275,418,138,322,255,2452
5,Hdcp,3,9,15,1,13,7,11,17,5,­
