,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,5,4,3,5,4,36
1,Reg.,297,345,192,336,505,208,155,512,292,2842
2,Fronto,265,329,192,323,496,194,121,496,268,2684
3,Hdcp,8,6,3,1,5,7,9,2,4,­
