,船形,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3N,4.0,5.0,3.0,4D,5.0,4.0,4.0,36
1,Back T.,428.0,220,452.0,500.0,171.0,422,559.0,400.0,381.0,3533
2,Reg T.,406.0,187,431.0,481.0,151.0,394,527.0,371.0,357.0,3305
3,Ladies T.,354.0,157,360.0,420.0,144.0,357,419.0,353.0,341.0,2905
4,Hdcp,,,,,,,,,,­
