,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,4,4,3N,4,3,5D,36
1,B.T,420,377,520,374,373,185,404,167,531,3351
2,R.T,394,356,491,343,351,163,383,157,512,3150
3,F.T,376,337,466,315,330,136,344,128,476,2908
4,L.T,311,262,438,315,303,136,292,128,411,2596
5,Hdcp,10,16,4,8,2,14,12,18,6,­
