,南,1,2,3,4,5,6,7,8,9,計
0,Par,3,4,5,4,4,5D,4,3N,4,36
1,Back T.(A),193,411,521,376,312,589,470,133,383,3388
2,Reg.(A),177,396,521,376,312,555,447,133,383,3300
3,Front(A),151,374,478,353,299,521,413,121,360,3070
4,Back T.(B),182,416,543,349,310,572,470,129,395,3366
5,Front(B),140,379,500,326,297,504,413,119,371,3049
6,Reg.(B),166,401,543,349,310,538,447,129,395,3278
7,Hdcp,10,4,16,8,14,2,6,10,12,­
