,金華山,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4.0,3N,4.0,5D,4.0,3.0,4.0,36
1,Back T.,562.0,383.0,398.0,182,400.0,551,430.0,195.0,372.0,3473
2,Reg.T.,537.0,370.0,372.0,164,381.0,526,413.0,171.0,360.0,3294
3,Ladies.T.,472.0,298.0,295.0,142,257.0,476,341.0,152.0,255.0,2688
4,Hdcp,,,,,,,,,,­
