,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,4D,5,4,5,3N,4,36
1,CHAMP（W),403,400,212,448,563,387,522,195,410,3540
2,BACK（Ｗ）,383,376,188,425,537,356,500,174,384,3323
3,REG.（W),366,358,168,401,512,329,481,155,365,3135
4,LADIES（W),348,338,168,386,491,329,445,126,345,2976
5,Hdcp,16,4,10,2,8,14,18,12,6,­
