,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4D,4,5,3N,4D,4,5,36
1,GOLD,408,203,445,407,556,178,421,372,538,3528
2,BLUE,383,179,410,378,541,160,391,347,512,3301
3,WHITE,363,157,386,358,517,149,386,334,492,3142
4,RED,346,138,367,341,482,134,363,318,472,2961
5,Hdcp,10,16,4,12,2,14,6,18,8,­
