,ロイヤルコース　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,3,4D,4,3N,4,5,4,36
1,Back,425,488,201,393,399,201,401,476,340,3324
2,Regular,398,470,177,367,348,159,366,463,335,3083
3,Front,376,383,143,277,278,132,306,445,315,2655
4,Ladies,347,383,115,257,236,113,306,403,268,2428
5,Hdcp,16,4,10,14,2,8,6,18,12,­
