,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3N,4,4D,3N,5,4,36
1,GOLD,387,520,381,213,460,377,228,547,435,3548
2,BLUE,367,500,351,166,413,352,204,507,406,3266
3,WHITE,359,478,336,160,395,352,187,482,396,3145
4,RED,340,441,320,136,378,282,155,456,377,2885
5,Hdcp,9,3,15,17,1,7,13,11,5,­
