,松島コース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4,5,3N,4D,4,36
1,BACK,576,348,409,154,358,523,191,412,407,3378
2,REG,557,328,347,109,338,505,160,380,369,3093
3,Front,537,299,347,94,302,505,160,363,353,2960
4,Hdcp,3,15,9,13,7,1,17,5,11,­
