,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,4D,4,3N,5,36
1,Back,362,372,556,218,408,416,440,183,503,3458
2,Reg.,348,357,539,162,386,399,362,157,483,3193
3,Hdcp,9,15,3,13,7,1,5,17,11,­
