,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,4,4,3,5D,36
1,Back T.,381,344,505,163,415,359,386,196,512,3261
2,Reg T.,355,329,483,138,392,324,355,175,480,3031
3,Hdcp,8,5,3,9,2,7,4,6,1,­
