,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,5,4,3N,5D,3,4,36
1,Back T.(A),452,387,328,546,422,192,532,198,363,3420
2,Reg.(A),422,371,328,515,402,192,488,198,363,3279
3,Front(A),390,355,307,494,351,156,464,176,342,3035
4,Back T.(B),424,384,304,526,410,165,524,202,353,3292
5,Front(B),362,352,282,472,339,129,456,180,332,2904
6,Reg.(B),393,368,304,495,390,165,480,198,353,3146
7,Hdcp,9,3,15,7,1,13,5,17,11,­
